Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
DST, ARI/Arizona,3900,Ari@StL 01:00PM ET,9.273,Ari
DST, SEA/Seattle,3600,Sea@Min 01:00PM ET,10.455,Sea
DST, CAR/Carolina,3500,Car@NO 04:25PM ET,11.273,Car
DST, CIN/Cincinnati,3400,Cin@Cle 01:00PM ET,8.455,Cin
DST, DEN/Denver,3400,Den@SD 04:05PM ET,12,Den
DST, NE/New England,3400,Phi@NE 04:25PM ET,7.909,NE
DST, GB/Green Bay,3100,GB@Det 08:25PM ET,7.273,GB
DST, ATL/Atlanta,3000,Atl@TB 01:00PM ET,6.636,Atl
DST, KC/Kansas City,3000,KC@Oak 04:05PM ET,9.273,KC
DST, STL/St. Louis,2800,Ari@StL 01:00PM ET,8.909,StL
DST, PIT/Pittsburgh,2800,Ind@Pit 08:30PM ET,7.727,Pit
DST, NYJ/New York,2700,NYJ@NYG 01:00PM ET,7.182,NYJ
DST, JAC/Jacksonville,2700,Jax@Ten 01:00PM ET,6,Jax
DST, BUF/Buffalo,2600,Hou@Buf 01:00PM ET,6.636,Buf
DST, CHI/Chicago,2600,SF@Chi 01:00PM ET,5.364,Chi
DST, DAL/Dallas,2600,Dal@Was 08:30PM ET,5.545,Dal
DST, TEN/Tennessee,2600,Jax@Ten 01:00PM ET,6.727,Ten
DST, MIN/Minnesota,2600,Sea@Min 01:00PM ET,7.909,Min
DST, BAL/Baltimore,2600,Bal@Mia 01:00PM ET,7.455,Bal
DST, HOU/Houston,2500,Hou@Buf 01:00PM ET,7.636,Hou
DST, NYG/New York,2500,NYJ@NYG 01:00PM ET,8.818,NYG
DST, TB/Tampa Bay,2500,Atl@TB 01:00PM ET,8.182,TB
DST, DET/Detroit,2400,GB@Det 08:25PM ET,6.273,Det
DST, CLE/Cleveland,2300,Cin@Cle 01:00PM ET,6,Cle
DST, OAK/Oakland,2300,KC@Oak 04:05PM ET,5.818,Oak
DST, MIA/Miami,2300,Bal@Mia 01:00PM ET,5.909,Mia
DST, PHI/Philadelphia,2300,Phi@NE 04:25PM ET,8,Phi
DST, SD/San Diego,2300,Den@SD 04:05PM ET,3.909,SD
DST, WAS/Washington,2300,Dal@Was 08:30PM ET,7.727,Was
DST, IND/Indianapolis,2200,Ind@Pit 08:30PM ET,7.091,Ind
DST, SF/San Francisco,2100,SF@Chi 01:00PM ET,4,SF
DST, NO/New Orleans,2000,Car@NO 04:25PM ET,4.727,NO
QB,Tom Brady,8000,Phi@NE 04:25PM ET,25.709,NE
QB,Cam Newton,7400,Car@NO 04:25PM ET,23.213,Car
QB,Aaron Rodgers,7200,GB@Det 08:25PM ET,21.76,GB
QB,Drew Brees,6900,Car@NO 04:25PM ET,21.99,NO
QB,Carson Palmer,6700,Ari@StL 01:00PM ET,23.598,Ari
QB,Matt Ryan,6700,Atl@TB 01:00PM ET,17.671,Atl
QB,Andrew Luck,6700,Ind@Pit 08:30PM ET,21.406,Ind
QB,Philip Rivers,6600,Den@SD 04:05PM ET,22.667,SD
QB,Ben Roethlisberger,6600,Ind@Pit 08:30PM ET,22.46,Pit
QB,Eli Manning,6500,NYJ@NYG 01:00PM ET,19.958,NYG
QB,Andy Dalton,6400,Cin@Cle 01:00PM ET,21.813,Cin
QB,Derek Carr,6200,KC@Oak 04:05PM ET,20.6,Oak
QB,Matthew Stafford,6100,GB@Det 08:25PM ET,18.942,Det
QB,Blake Bortles,6000,Jax@Ten 01:00PM ET,20.689,Jax
QB,Peyton Manning,5900,Den@SD 04:05PM ET,12.422,Den
QB,Tony Romo,5600,Dal@Was 08:30PM ET,12.915,Dal
QB,Russell Wilson,5600,Sea@Min 01:00PM ET,19.529,Sea
